,labeled_percent,can_plot,corruption_level,aff_dist_func,aff_sigma,algorithm,dataset,aff_k,aff_mask_func,elapsed_time,experiments,mean_acc,sd_acc
40,0.01,False,0.3,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08571076393127441,20,0.596,0.14325222511360863
41,0.01,False,0.2,gaussian,0.2,RF,spiral_hard,15.0,knn,0.060884952545166016,20,0.5883333333333333,0.05063046952620966
42,0.01,False,0.15,gaussian,0.2,RF,spiral,15.0,knn,0.07526445388793945,20,0.6162333333333334,0.060266178095364754
43,0.1,False,0.0,gaussian,0.2,RF,spiral,15.0,knn,0.06701111793518066,20,0.9801333333333334,0.011515400316291387
44,0.5,False,0.3,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.1004936695098877,20,0.7558,0.01283978192961233
45,0.05,False,0.1,gaussian,0.2,RF,spiral,15.0,knn,0.057255744934082024,20,0.8605666666666668,0.043093838177735905
46,0.05,False,0.2,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.06576299667358397,20,0.8830500000000001,0.030414593536656046
47,0.01,False,0.3,gaussian,0.2,RF,spiral,15.0,knn,0.059756278991699226,20,0.5767666666666666,0.049906701843428686
48,0.01,False,0.0,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09455156326293944,20,0.9966999999999999,0.0027766886753829794
49,0.01,False,0.35,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.07734894752502441,20,0.6426499999999999,0.10060629950455388
50,0.5,False,0.2,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.13101673126220706,20,0.8611000000000001,0.006803675477269627
51,0.5,False,0.35,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.07372522354125978,20,0.6949999999999998,0.013080519867344731
52,0.1,False,0.1,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09533071517944336,20,0.9616500000000002,0.012920042569589304
53,0.01,False,0.0,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.09077119827270508,20,0.9907,0.004930517214248426
54,0.1,False,0.15,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.06050467491149902,20,0.9283999999999999,0.017774701122663085
55,0.5,False,0.4,gaussian,0.2,RF,spiral,15.0,knn,0.15795111656188965,20,0.6294666666666667,0.00853385415077305
56,0.5,False,0.1,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0728147029876709,20,0.93995,0.004565906262725943
57,0.1,False,0.3,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05982780456542969,20,0.7839,0.028542774917656482
58,0.05,False,0.15,gaussian,0.2,RF,spiral_hard,15.0,knn,0.07704854011535645,20,0.8005000000000001,0.028801138094796813
59,0.01,False,0.2,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09249258041381836,20,0.9105000000000001,0.03867104860228125
60,0.5,False,0.1,gaussian,0.2,RF,spiral_hard,15.0,knn,0.1360952854156494,20,0.9234333333333332,0.005280046296093348
61,0.1,False,0.35,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.09769868850708008,20,0.7219499999999999,0.036476670626579936
62,0.05,False,0.15,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08435821533203125,20,0.9229499999999999,0.03040801703498602
63,0.1,False,0.2,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09342646598815918,20,0.8921499999999998,0.02670631947685791
64,0.01,False,0.15,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05410957336425781,20,0.9105000000000001,0.03867104860228125
65,0.05,False,0.4,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.09452533721923828,20,0.6362500000000002,0.05958680642558386
66,0.1,False,0.15,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09671473503112793,20,0.9225999999999999,0.02185268862176917
67,0.05,False,0.25,gaussian,0.2,RF,spiral,15.0,knn,0.061847686767578125,20,0.7407333333333334,0.04939541139282743
68,0.5,False,0.15,gaussian,0.2,RF,spiral_hard,15.0,knn,0.11302995681762695,20,0.8852333333333332,0.005321967054889897
69,0.1,False,0.1,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08722615242004395,20,0.9591,0.011780916772475742
70,0.1,False,0.4,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08449435234069824,20,0.65645,0.03753062083152901
71,0.1,False,0.3,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06670999526977539,20,0.7882999999999999,0.029166933332114314
72,0.5,False,0.2,gaussian,0.2,RF,spiral,15.0,knn,0.13539838790893555,20,0.8505666666666667,0.004748216039267328
73,0.5,False,0.25,gaussian,0.2,RF,spiral,15.0,knn,0.1327676773071289,20,0.8025666666666668,0.00819017026006719
74,0.01,False,0.35,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05780982971191406,20,0.6615,0.12129983511942627
75,0.05,False,0.25,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06798458099365234,20,0.7356,0.031625868455357156
76,0.1,False,0.15,gaussian,0.2,RF,spiral_hard,15.0,knn,0.08388161659240723,20,0.8643666666666668,0.02296516685959169
