,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
49,gaussian,15.0,knn,0.2,LGC,0.99,False,0.25,gaussians_sd=2,8.843547105789186,0.05,,,20,0.9995499999999999,0.0007399324293474255
50,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussians_sd=2,23.03199052810669,0.05,99.0,0.75,20,0.7912000000000001,0.32049471134482077
51,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,24.738123893737797,0.05,99.0,0.5,20,0.7086,0.3407929576737172
52,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussians_sd=3,2.364332914352417,0.1,,,20,0.9362999999999999,0.02274664810472083
53,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,gaussians_sd=0.4,0.8857171535491943,0.01,,,20,0.80695,0.04733336561031763
54,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,gaussians_sd=2,7.623929738998412,0.05,,,20,1.0,0.0
55,gaussian,15.0,knn,0.2,GTAM,,False,0.25,gaussians_sd=1,9.291321516036989,0.01,99.0,0.0,20,0.7911499999999998,0.3322347475806828
56,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,gaussians_sd=2,7.627135992050171,0.1,,,20,1.0,0.0
57,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,25.13559508323669,0.1,99.0,0.5,20,0.8140000000000001,0.28253442268155576
58,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=2,25.286967515945435,0.05,99.0,0.75,20,0.7856500000000001,0.3393890503537202
59,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,gaussians_sd=1,5.311156749725342,0.05,,,20,1.0,0.0
60,gaussian,15.0,knn,0.2,LGC,0.99,False,0.4,gaussians_sd=3,5.238331317901611,0.1,,,20,0.9738,0.031328262000947335
61,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=0.4,20.214942693710327,0.05,99.0,0.75,20,1.0,0.0
62,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,gaussians_sd=1,4.358013391494752,0.05,,,20,1.0,0.0
63,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.3,gaussians_sd=0.4,7.870534420013428,0.01,,,20,0.95945,0.09119729985037936
64,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,gaussians_sd=2,8.443465709686281,0.1,,,20,0.877,0.04091454509095755
65,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussians_sd=2,21.010783672332767,0.1,99.0,0.0,20,1.0,0.0
66,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussians_sd=3,22.18192195892334,0.01,99.0,1.0,20,0.9572,0.09742925638636478
67,gaussian,15.0,knn,0.2,GTAM,,False,0.2,gaussians_sd=3,19.76311755180359,0.01,99.0,0.0,20,0.8721500000000001,0.30025144046282276
68,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=1,9.111794233322145,0.1,99.0,1.0,20,0.9955499999999999,0.0017741194999210258
69,gaussian,15.0,knn,0.2,LGC,0.4,False,0.35,gaussians_sd=0.4,0.13804364204406738,0.01,,,20,0.6115999999999999,0.06843493260024444
70,gaussian,15.0,knn,0.2,LGC,0.4,False,0.25,gaussians_sd=2,6.249265909194946,0.1,,,20,0.83725,0.022761535536953564
71,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,gaussians_sd=3,6.679777383804321,0.1,,,20,0.9989999999999999,2.220446049250313e-16
72,gaussian,15.0,knn,0.2,LGC,0.99,False,0.4,gaussians_sd=2,7.5835227966308585,0.01,,,20,0.76835,0.06550440824860568
73,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussians_sd=0.4,9.284818887710573,0.01,99.0,0.0,20,1.0,0.0
74,gaussian,15.0,knn,0.2,LGC,0.99,False,0.25,gaussians_sd=0.4,6.8689935207366934,0.01,,,20,0.9849,0.015234500319997384
75,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussians_sd=3,18.307472467422485,0.1,99.0,0.25,20,0.9897,0.0014866068747318311
76,gaussian,15.0,knn,0.2,GTAM,,False,0.35,gaussians_sd=0.4,8.910507202148438,0.01,99.0,0.0,20,0.7006500000000001,0.34261075216636155
77,gaussian,15.0,knn,0.2,LGC,0.4,False,0.2,gaussians_sd=3,1.6407506465911863,0.05,,,20,0.8340500000000001,0.03396980276657489
78,gaussian,15.0,knn,0.2,LGC,0.4,False,0.35,gaussians_sd=1,0.3596537113189697,0.05,,,20,0.68795,0.029358942419644485
79,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussians_sd=2,7.608365058898926,0.1,,,20,0.9414999999999999,0.02187807121297487
80,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.25,gaussians_sd=3,5.620854377746582,0.1,,,20,0.9989999999999999,2.220446049250313e-16
81,gaussian,15.0,knn,0.2,GTAM,,False,0.4,gaussians_sd=3,17.61777400970459,0.01,99.0,0.0,20,0.6114499999999999,0.4539428901304657
82,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=2,9.416361093521116,0.05,99.0,0.1,20,0.9055500000000001,0.2243866027640688
83,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=1,9.505328178405762,0.01,99.0,1.0,20,0.9889499999999998,0.044956061882687234
84,gaussian,15.0,knn,0.2,GTAM,,False,0.35,gaussians_sd=1,8.449582815170286,0.1,99.0,0.0,20,0.8982999999999999,0.16919547866299503
85,gaussian,15.0,knn,0.2,LGC,0.4,False,0.2,gaussians_sd=2,7.978838920593263,0.1,,,20,0.8683000000000002,0.01982952344359289
86,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.25,gaussians_sd=1,1.995267629623413,0.05,,,20,1.0,0.0
87,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,3.2083628177642822,0.01,99.0,0.1,20,0.56265,0.3777780135211683
88,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,gaussians_sd=2,8.522799015045166,0.01,,,20,0.8064499999999999,0.058447818607711956
89,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussians_sd=3,20.12263965606689,0.1,99.0,0.0,20,0.9990499999999999,0.00021794494717700965
90,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=3,1.6574442386627195,0.05,99.0,0.1,20,0.7843000000000001,0.27933673227844563
91,gaussian,15.0,knn,0.2,GTAM,,False,0.1,gaussians_sd=1,7.8618412017822275,0.1,99.0,0.0,20,0.9899999999999997,3.3306690738754696e-16
92,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,5.5067498683929434,0.05,99.0,1.0,20,0.7086,0.3407929576737172
93,gaussian,15.0,knn,0.2,LGC,0.2,False,0.15,gaussians_sd=0.4,6.15905237197876,0.05,,,20,0.87105,0.01921841564749808
94,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=3,9.651444911956787,0.05,99.0,1.0,20,0.9990499999999999,0.00021794494717700965
95,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,gaussians_sd=1,0.9424946308135986,0.1,,,20,0.76395,0.02990898694372646
96,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=1,18.802679777145386,0.05,99.0,0.5,20,0.9926,0.0014282856857085842
97,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=2,24.48081111907959,0.01,99.0,0.5,20,1.0,0.0
98,gaussian,15.0,knn,0.2,LGC,0.4,False,0.2,gaussians_sd=0.4,2.08632230758667,0.1,,,20,0.86235,0.02985510844060025
99,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=3,21.71360754966736,0.01,99.0,0.75,20,0.8475000000000001,0.3010658565829078
100,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,gaussians_sd=3,6.879471778869629,0.01,,,20,0.6504000000000001,0.062191156927653306
101,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,gaussians_sd=3,8.035384893417357,0.05,,,20,0.64595,0.03552390040522013
102,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,9.377913236618044,0.01,99.0,0.25,20,0.56265,0.3777780135211683
103,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=0.4,24.218664407730106,0.01,99.0,0.5,20,1.0,0.0
104,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,gaussians_sd=2,6.315062999725343,0.1,,,20,0.9455500000000001,0.013044059950797509
105,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=3,25.38504910469055,0.1,99.0,0.5,20,0.9990499999999999,0.00021794494717700965
106,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=3,24.576494693756104,0.1,99.0,0.1,20,0.9990999999999998,0.0002999999999999669
107,gaussian,15.0,knn,0.2,GTAM,,False,0.1,gaussians_sd=0.4,9.243257761001589,0.1,99.0,0.0,20,0.9899499999999998,0.00021794494717700968
108,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=3,8.165936470031737,0.05,99.0,0.1,20,0.9696,0.0704360703049226
109,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=0.4,13.85781192779541,0.05,99.0,0.75,20,0.9205500000000001,0.2237376756382349
110,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=3,23.218013286590576,0.01,99.0,1.0,20,0.7123,0.3466411833582386
111,gaussian,15.0,knn,0.2,LGC,0.2,False,0.1,gaussians_sd=2,6.578847169876099,0.05,,,20,0.8896499999999999,0.038497110281162664
112,gaussian,15.0,knn,0.2,LGC,0.4,False,0.15,gaussians_sd=3,6.06390905380249,0.1,,,20,0.8938499999999999,0.01986271632984775
113,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=3,7.84433126449585,0.05,99.0,0.1,20,0.9190999999999999,0.21387540765595284
114,gaussian,15.0,knn,0.2,LGC,0.9,False,0.35,gaussians_sd=1,2.1617331504821777,0.1,,,20,0.8243499999999999,0.03747569212169405
115,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,24.767598867416385,0.1,99.0,0.5,20,0.98835,0.0061259693110560275
116,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=3,21.67861318588257,0.1,99.0,0.25,20,0.9873500000000004,0.005909949238360665
117,gaussian,15.0,knn,0.2,GTAM,,False,0.4,gaussians_sd=0.4,8.365736484527588,0.01,99.0,0.0,20,0.6684000000000001,0.3839316866318799
118,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=2,19.32622504234314,0.1,99.0,0.25,20,0.9905999999999997,0.0018547236990991483
119,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=3,21.56983017921448,0.01,99.0,0.5,20,0.95945,0.16803614938458927
120,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,10.523653268814089,0.1,99.0,1.0,20,0.98835,0.0061259693110560275
121,gaussian,15.0,knn,0.2,GTAM,,False,0.35,gaussians_sd=0.4,8.047452211380005,0.1,99.0,0.0,20,0.9046999999999998,0.1419109227649514
122,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=2,21.6595311164856,0.01,99.0,0.1,20,0.8240000000000002,0.29805267990742845
123,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=3,20.86829376220703,0.05,99.0,0.5,20,0.9572499999999998,0.1562929540958261
124,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussians_sd=0.4,18.851763248443607,0.01,99.0,0.5,20,0.8126000000000001,0.2834982186892892
