,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
0,gaussian,15.0,knn,0.2,LGC,0.9,False,0.2,spiral,1.3029344081878662,0.01,,,20,0.8193666666666667,0.06489940078477013,"[0.7006666666666667, 0.716, 0.7286666666666667, 0.732, 0.7659999999999999, 0.7879999999999999, 0.7979999999999999, 0.8093333333333333, 0.8246666666666667, 0.826, 0.8326666666666667, 0.8373333333333334, 0.8453333333333334, 0.8566666666666667, 0.86, 0.8646666666666667, 0.8666666666666667, 0.8793333333333333, 0.8853333333333333, 0.97]",0.7006666666666667,0.97,0.8293333333333333
1,gaussian,15.0,knn,0.2,GTAM,,False,0.3,spiral,17.902624368667606,0.01,99.0,0.0,20,0.8821333333333333,0.2317698667021041,"[0.21933333333333327, 0.22399999999999998, 0.7513333333333333, 0.7813333333333333, 0.8733333333333333, 0.9133333333333332, 0.9146666666666666, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332, 0.9973333333333332]",0.21933333333333327,0.9973333333333332,0.9973333333333332
2,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,17.171671867370605,0.01,99.0,0.25,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
3,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral_hard,4.935041904449463,0.05,,,20,0.7522333333333333,0.11535766121068855,"[0.5806666666666667, 0.6093333333333333, 0.6113333333333333, 0.64, 0.6526666666666666, 0.6579999999999999, 0.6613333333333333, 0.6666666666666666, 0.682, 0.7066666666666667, 0.7733333333333333, 0.7766666666666666, 0.7979999999999999, 0.8446666666666667, 0.8466666666666667, 0.888, 0.8906666666666667, 0.9059999999999999, 0.9153333333333332, 0.9366666666666666]",0.5806666666666667,0.9366666666666666,0.74
4,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,spiral,0.2723259925842285,0.1,,,20,0.8835333333333333,0.01577212731371387,"[0.8540000000000001, 0.8546666666666667, 0.872, 0.8733333333333333, 0.8740000000000001, 0.8753333333333333, 0.8753333333333333, 0.878, 0.8786666666666667, 0.882, 0.8826666666666667, 0.8833333333333333, 0.8846666666666667, 0.8859999999999999, 0.8926666666666667, 0.8959999999999999, 0.898, 0.904, 0.9046666666666666, 0.9213333333333332]",0.8540000000000001,0.9213333333333332,0.8823333333333334
5,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.25,spiral_hard,2.020000696182251,0.01,,,20,0.6128666666666668,0.05454747167987409,"[0.4933333333333334, 0.5326666666666666, 0.5393333333333333, 0.5646666666666667, 0.5726666666666667, 0.5760000000000001, 0.6, 0.6013333333333334, 0.6053333333333333, 0.6066666666666667, 0.6133333333333333, 0.6286666666666667, 0.63, 0.6446666666666667, 0.6459999999999999, 0.6566666666666666, 0.6653333333333333, 0.67, 0.7046666666666667, 0.706]",0.4933333333333334,0.706,0.61
6,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral_hard,2.6765639781951904,0.1,,,20,0.9563,0.011054360627774396,"[0.9406666666666668, 0.9420000000000001, 0.9426666666666668, 0.9446666666666668, 0.9446666666666668, 0.9466666666666668, 0.9473333333333334, 0.9506666666666668, 0.9533333333333334, 0.9553333333333334, 0.958, 0.9586666666666668, 0.9586666666666668, 0.96, 0.9646666666666668, 0.9673333333333334, 0.97, 0.9706666666666668, 0.9726666666666668, 0.9773333333333334]",0.9406666666666668,0.9773333333333334,0.9566666666666667
7,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral,4.817154169082642,0.01,99.0,1.0,20,0.9081999999999997,0.243013863344826,"[0.17666666666666667, 0.2053333333333333, 0.7993333333333333, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9986666666666668, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332, 0.9993333333333332]",0.17666666666666667,0.9993333333333332,0.9986666666666668
8,gaussian,15.0,knn,0.2,GTAM,,False,0.35,spiral_hard,11.638848066329956,0.05,99.0,0.0,20,0.7382666666666667,0.30282018133245714,"[0.04466666666666667, 0.06733333333333333, 0.4, 0.4773333333333333, 0.498, 0.5233333333333333, 0.5346666666666666, 0.7559999999999999, 0.8933333333333333, 0.8946666666666667, 0.9593333333333334, 0.9653333333333334, 0.9666666666666668, 0.9673333333333334, 0.968, 0.9686666666666668, 0.9686666666666668, 0.9686666666666668, 0.9693333333333334, 0.9740000000000001]",0.04466666666666667,0.9740000000000001,0.927
9,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,1.3892536163330078,0.1,,,20,0.7437666666666667,0.015414675547095434,"[0.7093333333333334, 0.7173333333333334, 0.7306666666666667, 0.7326666666666667, 0.7346666666666667, 0.7346666666666667, 0.736, 0.7386666666666667, 0.74, 0.742, 0.7433333333333333, 0.748, 0.7486666666666667, 0.7493333333333333, 0.752, 0.7559999999999999, 0.7593333333333333, 0.7606666666666667, 0.77, 0.772]",0.7093333333333334,0.772,0.7426666666666666
10,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,13.561901569366455,0.5,99.0,1.0,20,0.9831333333333335,0.0027736858750286126,"[0.9746666666666668, 0.98, 0.9806666666666668, 0.9813333333333332, 0.9813333333333332, 0.982, 0.982, 0.982, 0.9826666666666668, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.986, 0.9866666666666668, 0.9873333333333332]",0.9746666666666668,0.9873333333333332,0.9840000000000001
11,gaussian,15.0,knn,0.2,GTAM,,False,0.15,spiral,18.09890341758728,0.05,99.0,0.0,20,0.9920000000000002,2.220446049250313e-16,"[0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992]",0.992,0.992,0.992
12,gaussian,15.0,knn,0.2,GTAM,,False,0.15,spiral_hard,17.773743867874146,0.05,99.0,0.0,20,0.9519666666666667,0.10147412916053476,"[0.5153333333333333, 0.9046666666666666, 0.9766666666666668, 0.9773333333333334, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9793333333333332, 0.98, 0.9806666666666668, 0.9813333333333332, 0.9833333333333332]",0.5153333333333333,0.9833333333333332,0.978
13,gaussian,15.0,knn,0.2,GTAM,,False,0.15,spiral_hard,4.401069164276123,0.1,99.0,0.0,20,0.9725999999999999,0.0014742229591664193,"[0.9693333333333334, 0.97, 0.9713333333333334, 0.9713333333333334, 0.972, 0.972, 0.972, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9733333333333334, 0.9740000000000001, 0.9746666666666668, 0.9753333333333334, 0.9753333333333334]",0.9693333333333334,0.9753333333333334,0.9726666666666668
14,gaussian,15.0,knn,0.2,RF,,False,0.0,spiral,0.7379190921783447,0.5,,,20,0.9953,0.0019029217301589087,"[0.9906666666666668, 0.9926666666666668, 0.9926666666666668, 0.9933333333333332, 0.9940000000000001, 0.9946666666666668, 0.9946666666666668, 0.9953333333333332, 0.9953333333333332, 0.9953333333333332, 0.9953333333333332, 0.996, 0.996, 0.996, 0.996, 0.9966666666666668, 0.9973333333333332, 0.9973333333333332, 0.998, 0.9986666666666668]",0.9906666666666668,0.9986666666666668,0.9953333333333332
15,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,24.33174419403076,0.01,99.0,2.0,20,0.8178333333333333,0.2398851461290034,"[0.278, 0.39, 0.4666666666666667, 0.5286666666666666, 0.5566666666666666, 0.6266666666666667, 0.726, 0.9813333333333332, 0.9813333333333332, 0.9813333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332]",0.278,0.9853333333333332,0.9823333333333332
16,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral_hard,3.6492829322814937,0.01,,,20,0.6001666666666665,0.05712009765008771,"[0.53, 0.54, 0.5433333333333333, 0.5513333333333333, 0.552, 0.562, 0.5666666666666667, 0.5713333333333334, 0.5720000000000001, 0.5726666666666667, 0.6093333333333333, 0.6106666666666667, 0.6113333333333333, 0.6146666666666667, 0.628, 0.632, 0.6346666666666667, 0.6426666666666667, 0.6786666666666666, 0.78]",0.53,0.78,0.591
