,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
67,gaussian,15.0,knn,0.2,GTAM,,False,0.2,gaussian,1.0,5.418208599090576,0.1,99.0,0.0,20,0.80045,0.033459639866561634
68,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,2.0,5.2727787494659415,0.1,99.0,1.0,20,0.5936499999999999,0.10242766960152903
69,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussian,3.0,5.388959884643555,0.1,99.0,1.0,20,0.5539499999999999,0.07057653646928276
70,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.25,gaussian,0.4,4.0963618755340585,0.1,,,20,0.9930999999999999,0.0030479501308256413
71,gaussian,15.0,knn,0.2,RF,,False,0.1,gaussian,2.0,0.17026472091674805,0.1,,,20,0.6393,0.02857288924837669
72,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,gaussian,3.0,1.0404376983642578,0.1,,,20,0.5320999999999999,0.020940152817016413
73,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,gaussian,0.4,2.6275060176849365,0.1,,,20,0.9939,0.002022374841615658
74,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussian,1.0,3.974043607711792,0.1,99.0,1.0,20,0.8341999999999998,0.017417232845661792
75,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,gaussian,0.4,2.1062264442443848,0.1,,,20,0.8406,0.022778059618852525
76,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.25,gaussian,2.0,2.7562296390533447,0.1,,,20,0.5663000000000001,0.02961266620890458
77,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,0.4,6.249705791473389,0.1,99.0,2.0,20,0.8105,0.27952808445664273
78,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,gaussian,1.0,3.716578483581543,0.1,,,20,0.8160999999999999,0.02172533083752698
79,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussian,0.4,5.863133668899536,0.1,99.0,0.0,20,0.9930000000000001,0.0030659419433511845
