,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
132,gaussian,15.0,knn,0.2,GTAM,,False,0.3,spiral,29.78045201301575,0.5,99.0,0.0,20,0.8443333333333332,0.007319684267629169
133,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral_hard,11.645502805709839,0.01,99.0,0.0,20,0.9618666666666666,0.10186627399575278
134,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral_hard,47.82332730293274,0.1,99.0,0.75,20,0.9256333333333335,0.10496400970491426
135,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,spiral,9.103961944580078,0.1,,,20,1.0,0.0
136,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,20.571040153503414,0.05,99.0,0.25,20,0.9221666666666668,0.1657182180020585
137,gaussian,15.0,knn,0.2,LGC,0.4,False,0.15,spiral,2.459552526473999,0.05,,,20,0.8520666666666665,0.025084656664981487
138,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,spiral,3.872493743896485,0.5,,,20,1.0,0.0
139,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral_hard,6.193730592727661,0.1,,,20,0.8172333333333333,0.1071790350560946
140,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral,9.173571109771727,0.05,,,20,1.0,0.0
141,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,34.79471707344055,0.5,99.0,0.1,20,0.9175333333333333,0.001536229149573716
142,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,spiral,1.4899556636810305,0.05,,,20,0.6424333333333334,0.035821331323357845
143,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral_hard,3.486447811126709,0.5,99.0,0.1,20,0.7387666666666666,0.03181912422846779
