,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
155,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral,0.04,5.407540082931519,0.1,99.0,0.0,20,1.0,0.0
156,gaussian,15.0,knn,0.2,RF,,False,0.4,spiral,0.04,0.6068186759948729,0.1,,,20,0.6266,0.028517363131958746
157,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral,0.075,5.861772298812866,0.1,99.0,0.0,20,0.9798500000000001,0.00035707142142710316
158,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,0.1,4.460313081741333,0.1,99.0,2.0,20,0.9878499999999999,0.001620956507744754
159,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral,0.04,5.575976848602295,0.1,99.0,2.0,20,0.9881500000000001,0.0026129485260908006
160,gaussian,15.0,knn,0.2,LGC,0.9,False,0.35,spiral,0.04,3.3158159255981445,0.1,,,20,0.7257499999999999,0.04539479595724601
161,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,spiral,0.15,2.0514261722564697,0.1,,,20,0.6196499999999999,0.02380603914976198
162,gaussian,15.0,knn,0.2,RF,,False,0.2,spiral,0.15,0.4514565467834473,0.1,,,20,0.8462500000000001,0.024637116308529296
163,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,spiral,0.075,1.6522977352142334,0.1,,,20,0.9007499999999998,0.050190512051582016
164,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,0.04,6.443521976470947,0.1,99.0,1.0,20,0.98515,0.0011521718621802701
165,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral,0.1,6.2776145935058585,0.1,99.0,1.0,20,0.7802999999999999,0.3180660466003877
166,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,0.15,1.6193652153015137,0.1,99.0,2.0,20,0.8838999999999999,0.21075575911466807
167,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,spiral,0.1,2.134248971939087,0.1,,,20,0.9205499999999999,0.013536894030759057
168,gaussian,15.0,knn,0.2,GTAM,,False,0.35,spiral,0.075,5.154520988464356,0.1,99.0,0.0,20,0.8538500000000001,0.2038340685459622
169,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,spiral,0.15,0.8919258117675781,0.1,,,20,0.9299999999999999,0.02704071004984893
170,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.25,spiral,0.075,2.7924070358276367,0.1,,,20,0.795,0.03102418411497714
171,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,spiral,0.1,3.1272335052490234,0.1,,,20,0.6756499999999999,0.022325489916237007
172,gaussian,15.0,knn,0.2,LGC,0.9,False,0.2,spiral,0.1,1.5513057708740234,0.1,,,20,0.9447500000000002,0.034529516359196225
173,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,spiral,0.15,1.5983684062957764,0.1,,,20,0.9453499999999998,0.014765754298375686
174,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral,0.075,0.5835556983947754,0.1,,,20,0.9785499999999999,0.011838390937961116
175,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral,0.075,4.935322999954224,0.1,99.0,1.0,20,0.9870000000000001,0.0010954451150103435
176,gaussian,15.0,knn,0.2,GTAM,,False,0.25,spiral,0.04,6.22752857208252,0.1,99.0,0.0,20,0.9759999999999998,2.220446049250313e-16
177,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,0.075,4.716843843460083,0.1,99.0,2.0,20,0.8420500000000001,0.22467186628503358
178,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,spiral,0.1,2.393379211425781,0.1,,,20,0.8639500000000002,0.02333339880943195
179,gaussian,15.0,knn,0.2,RF,,False,0.1,spiral,0.15,0.5239055156707764,0.1,,,20,0.9150499999999999,0.031227351792939482
180,gaussian,15.0,knn,0.2,RF,,False,0.0,spiral,0.15,0.0891580581665039,0.1,,,20,0.9612,0.014787156589419077
181,gaussian,15.0,knn,0.2,RF,,False,0.0,spiral,0.04,0.09173297882080078,0.1,,,20,0.9785,0.018070694507959544
182,gaussian,15.0,knn,0.2,RF,,False,0.3,spiral,0.04,0.4415853023529053,0.1,,,20,0.756,0.037292090314167164
183,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral,0.1,5.751013517379762,0.1,99.0,0.0,20,0.9993500000000001,0.000792148975887724
184,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,0.075,6.213408470153809,0.1,99.0,1.0,20,0.869,0.17874898601111
